
chr4	89935556	89935883
chr4	89935556	89935883
chr7	105872919	105872933
chr17	56783686	56784176
chr5	14731256	14731259
chr9	99682793	99683366
chr4	25799323	25800208
chr11	8177691	8178038
chr11	2157700	2158474
chr4	129672466	129672702
chr4	129672466	129672702
chr2	67331283	67335118
chr4	111378041	111378322
chr13	75060112	75060386
chr11	51052341	51052350
chr2	77433685	77433729
chr8	105336951	105337056
chr3	14624968	14625280
chr6	2907682	2908151
chr13	111803889	111803912
chr7	121828918	121832470
chr7	121828918	121832470
chr7	121828918	121832470
chr6	58059350	58059754
chr6	58059350	58059754
chr6	58059350	58059754
chr18	3492300	3493115
chrX	4033879	4033910
chr9	136310427	136310470
chr10	7496180	7497117
chr5	101844646	101844958
chr16	74955135	74955524
chr2	115571270	115572861
chr7	120989080	120989818
chr7	16647686	16649162
chr9	76359943	76360864
chr3	41657685	41657790
chr17	61151202	61153747
chr4	65515465	65515498
chr15	90309373	90309945
chr14	21808576	21808661
chr3	123295938	123296246
chrX	94647374	94647654
chr4	53952811	53954270
chr3	4515639	4516834
chr14	22594252	22595139
chr3	126439829	126439838
chr1	14005737	14005993
chr12	9299573	9301602
chr5	8550635	8550693
chr15	83519882	83520616
chr5	2318618	2318981
chr2	115567927	115570989
chr10	64576292	64576996
chr16	71980790	71981480
chr16	71980790	71981480
chr8	46758027	46758140
chrX	31552347	31552995
chr8	32419485	32420256
chr2	3785351	3785377
chr5	64977176	64978293
chr14	127578506	127578661
chr2	704094	705000
chr15	126761512	126762913
chr4	57967250	57968324
chr6	7878481	7879172
chr16	79196246	79196476
chr5	74793811	74793959
chr18	38270362	38270588
chr2	136005330	136005723
chr3	8054920	8055058
chr3	8054920	8055058
chr8	87231193	87232165
chr15	59040823	59040844
chr2	115563176	115563919
chrX	122950381	122950489
chr7	52013562	52014454
chr2	1488159	1489018
chr2	1488159	1489018
chr13	197957312	197957376
chr9	4700000	4702160
chr3	66520219	66521282
chr8	12487620	12487732
chr1	273244175	273245194
chr6	60766057	60771561
chr14	41462593	41462917
chr3	38970454	38970706
chr3	3698362	3700429
chr6	55257054	55258058
chr16	74107999	74108540
chr4	111613660	111616978
chr7	119843304	119844580
chr2	74042758	74042841
chr9	118664994	118665252
chr1	79004469	79004727
chr17	58457565	58458399
chr3	14464518	14465458
chr3	100242253	100242916
chrX	50618422	50619282
chr10	60718810	60719095
chr14	137808157	137809061
chr6	9556266	9557315
chrX	22067389	22069581
chr2	50743534	50744321
chr2	64496790	64498291
chr9	13558883	13559457
chrX	89684722	89684950
chr3	30829812	30830059
chr10	10521263	10521731
chr2	67924623	67926945
chr14	138354508	138355442
chr8	43469588	43470102
chr5	72035472	72036085
chr14	51588771	51589111
chr5	88680880	88681040
chr13	98984260	98984748
chr18	49248083	49248462
chr4	70280195	70280631
chr11	2531623	2532257
chr14	7468088	7468442
chr2	66565748	66567413
chr3	131146373	131147103
chr6	60799258	60800999
chrX	51161033	51161312
chrX	51161033	51161312
chr2	1907665	1907981
chr2	93846446	93848545
chr8	136421509	136421871
chr7	29120342	29120843
chr2	93848735	93849128
chr2	93844242	93845961
chr1	1251204	1252033
chr6	44522079	44522815
chr6	44522079	44522815
chr7	60033771	60034462
chr8	81449441	81449648
chr10	29783052	29783425
chr11	2161616	2161961
chr3	36159015	36160544
chr6	50784541	50785300
chr11	280611	280683
chr3	41672912	41673162
chr4	122440	123953
chr4	122440	123953
chr7	3832996	3833387
chr3	38806448	38809464
chr5	60963863	60965728
chr7	67234267	67234564
chr1	93181382	93182232
chr18	15126680	15127074
chr2	2014200	2014612
chr14	12618	12690
chr11	34869278	34871184
chr7	2852589	2854135
chr10	38797540	38799144
chr1	243116064	243120000
chr6	53425134	53425192
chr1	252351918	252354829
chr1	252351918	252354829
chr11	9579783	9580086
chr13	204693822	204695617
chr13	98360750	98361077
chr14	109588823	109588988
chr17	58338770	58339627
chr9	58193322	58194355
chr15	80682893	80684518
chr2	1489138	1490633
chr5	2034444	2034734
chr7	121820751	121823229
chr7	121820751	121823229
chr12	23628813	23629702
chr2	115565558	115567596
chr9	43362310	43362407
chr2	74697442	74697603
chr2	142950105	142951703
chr6	168324164	168324897
chr4	3372697	3373013
chr6	57318018	57319119
chr18	53680845	53681080
chr15	56293427	56293802
chr7	121841036	121843624
chr7	121841036	121843624
chr7	121841036	121843624
chr6	35137940	35138615
chr10	54718917	54719380
chr3	125137761	125138399
chr17	55570440	55570511
chr2	1951645	1953492
chr2	70438684	70438752
chr6	81252572	81254356
chr1	250967547	250968482
chr6	1525646	1526667
chr6	58409286	58409990
chr6	58409286	58409990
chr6	58409286	58409990
chr1	273763653	273765104
chr6	50757496	50758248
chr6	45061621	45063498
chr7	95483405	95484026
chr14	6356088	6356619
chr11	66530340	66531348
chr14	22630813	22634110
chr16	53455607	53456108
chr6	55019086	55026340
chr6	55019086	55026340
chr1	266068708	266069102
chr12	59048928	59050311
chr2	65764085	65764379
chr5	64798783	64799035
chr18	47970456	47971435
chr6	62543477	62544975
chr6	62543477	62544975
chr6	62543477	62544975
chr8	54507750	54508024
chr1	147042249	147042577
chr6	62799154	62801083
chr6	62799154	62801083
chr7	121814210	121815436
chr7	121814210	121815436
chr1	153057046	153057337
chr11	3417619	3417914
chr16	49499296	49499448
chr11	6073680	6073938
chr5	68906487	68906675
chr5	72039392	72041434
chr6	40333328	40334290
chr9	112339099	112339508
chrY	21454880	21455102
chr3	9372672	9373296
chr6	16245226	16245637
chr3	73159117	73159235
chr6	741869	743136
chr8	129995589	129996039
chr8	11170968	11171436
chrX	6928871	6929740
chr10	47985909	47986637
chr11	4200457	4201137
chr15	136393873	136394360
chr1	273842492	273842807
chr3	54431658	54432949
chr6	58102838	58104838
chr9	74474042	74476065
chr13	111598435	111598890
chr4	191915	192636
chr3	41669794	41670495
chr13	145654663	145655296
chr14	135523888	135524703
chr3	41663742	41664321
chr3	123011526	123012173
chrX	487034	488862
chr1	76450290	76450578
chr11	1729211	1729732
chr16	78828144	78828704
chr2	65837882	65839593
chrY	19646690	19647312
chr2	7978140	7978939
chr2	7978140	7978939
chr5	3840095	3840336
chr12	57053088	57054051
chr6	65905583	65908806
chr11	3172100	3172838
chr6	60910154	60912190
chr1	256588115	256588331
chr7	121380955	121382309
